,,BEV,FCV,HEV,ICE,PHEV,Trolley
MFT,1995,0.0,0.0,2087.7407351678758,0.0,255.34110787015194,0.0
MFT,1996,0.0,0.0,2296.8679520655946,0.0,287.88228352921027,0.0
MFT,1997,0.0,0.0,2493.730776552289,0.0,319.06669159201937,0.0
MFT,1998,0.0,0.0,2458.2759091420985,0.0,312.64660401234846,0.0
MFT,1999,0.0,0.0,2638.0509595100166,0.0,339.3741488688259,0.0
MFT,2000,0.0,0.0,2762.8953214773724,0.0,356.35516896506476,0.0
MFT,2001,0.0,0.0,2752.90604811084,0.0,355.4392602842515,0.0
MFT,2002,0.0,0.0,2869.547594803484,0.0,377.88687996988244,0.0
MFT,2003,0.0,0.0,2953.0484930618145,0.0,396.22168605009387,0.0
MFT,2004,0.0,0.0,3146.1090971978733,0.0,432.18136825960266,0.0
MFT,2005,0.0,0.0,3255.6746522669487,0.0,452.30170076149597,0.0
MFT,2006,0.0,0.0,3423.2742041749875,0.0,484.18383719387697,0.0
MFT,2007,0.0,0.0,3667.7139182783503,0.0,529.8548074486721,0.0
MFT,2008,0.0,0.0,3898.5390251141857,0.0,578.7975149762119,0.0
MFT,2009,0.0,0.0,4238.336269553913,0.0,656.7689838471115,0.0
MFT,2010,0.0,0.0,5076.305105582637,0.0,841.952256286276,0.0
MFT,2011,0.0,0.0,7557.182901316301,0.0,1724.3814372514846,0.0
MFT,2012,0.0,0.0,16352.795785813863,0.0,7229.612992805363,0.0
MFT,2013,0.0,0.0,55553.761683099816,0.0,58102.35927368949,0.0
MFT,2014,0.0,0.0,261603.79305013112,0.0,822985.9696908022,0.0
MFT,2015,0.0,0.0,1286183.8140798898,0.0,14921956.868532429,0.0
MFT,2016,0.0,0.0,1548069.6259827912,0.0,17956062.43368116,0.0
MFT,2017,0.0,0.0,1840867.5911713226,0.0,21373777.5265047,0.0
MFT,2018,0.0,0.0,2147107.6657232586,0.0,24924702.89757037,0.0
MFT,2019,0.0,0.0,2431674.1912570572,0.0,28399991.720229764,0.0
MFT,2020,0.0,0.0,2546487.3083183705,0.0,29636615.58160226,0.0
MFT,2021,0.0,0.0,4236998.625127897,0.0,48031010.09349201,0.0
MFT,2022,0.0,0.0,6021459.044746178,0.0,67886106.60575737,0.0
MFT,2023,0.0,0.0,7920725.99752265,0.0,89969355.50475541,0.0
MFT,2024,0.0,0.0,9931134.606848503,0.0,114093024.80082443,0.0
MFT,2025,0.0,0.0,12022494.537963724,0.0,141143932.96470913,0.0
MFT,2026,0.0,0.0,14076793.60209666,0.0,170880002.78781506,0.0
MFT,2027,0.0,0.0,16165706.603330031,0.0,200372828.80823883,0.0
MFT,2028,0.0,0.0,18326038.640949257,0.0,230297113.26425508,0.0
